Record_ID,Annual_Rainfall,Rainfall_Category,Fertilizer,Fertilizer_per_Area,Pesticide,Pesticide_per_Area,Year_Group
90,1852,Medium,345467.1,95.17,1125.3,0.31,1997-2000
91,1852,Medium,19700.19,95.17,64.17,0.31,1997-2000
92,1852,Medium,582059.72,95.17,1895.96,0.31,1997-2000
93,1852,Medium,254484.58,95.17,828.94,0.31,1997-2000
94,1852,Medium,62812.2,95.17,204.6,0.31,1997-2000
95,1852,Medium,2310061.41,95.17,7524.63,0.31,1997-2000
96,1852,Medium,2474420.0,95.17,8060.0,0.31,1997-2000
97,1852,Medium,6094115.78,95.17,19850.54,0.31,1997-2000
98,1852,Medium,2425407.45,95.17,7900.35,0.31,1997-2000
99,1852,Medium,2818459.55,95.17,9180.65,0.31,1997-2000
100,1852,Medium,537234.65,95.17,1749.95,0.31,1997-2000
101,1852,Medium,2417703465.585,95.17,293.88,0.31,1997-2000
102,1852,Medium,2417703465.585,95.17,198887.94,0.31,1997-2000
103,1852,Medium,2404089.37,95.17,7830.91,0.31,1997-2000
104,1852,Medium,1568972.62,95.17,5110.66,0.31,1997-2000
105,1852,Medium,3375584.73,95.17,10995.39,0.31,1997-2000
106,1852,Medium,4872894.34,95.17,15872.62,0.31,1997-2000
107,1852,Medium,922102.13,95.17,3003.59,0.31,1997-2000
108,1852,Medium,141803.3,95.17,461.9,0.31,1997-2000
109,1852,Medium,311110.73,95.17,1013.39,0.31,1997-2000
110,1852,Medium,947798.03,95.17,3087.29,0.31,1997-2000
111,1852,Medium,4835406877.0,95.17,15750511.0,0.31,1997-2000
112,1852,Medium,619747.04,95.17,2018.72,0.31,1997-2000
113,1852,Medium,121722.43,95.17,396.49,0.31,1997-2000
114,1852,Medium,27029707.55,95.17,88044.65,0.31,1997-2000
115,1852,Medium,1199808.19,95.17,3908.17,0.31,1997-2000
116,1852,Medium,2417703465.585,95.17,101408.13,0.31,1997-2000
117,1852,Medium,40268425.57,95.17,131167.51,0.31,1997-2000
118,1852,Medium,114853915.9,95.16999997514148,374116.99,0.31,1997-2000
119,1852,Medium,406407115.8,95.17000000936696,1323801.68,0.31,1997-2000
120,1852,Medium,1027836.0,95.17,3348.0,0.31,1997-2000
121,1852,Medium,191767.55,95.17,624.65,0.31,1997-2000
122,1852,Medium,2417703465.585,95.17,39653.03,0.31,1997-2000
123,1852,Medium,480227.82,95.17,1564.26,0.31,1997-2000
124,1852,Medium,147989.35,95.17,482.05,0.31,1997-2000
125,1852,Medium,2455100.49,95.17,7997.07,0.31,1997-2000
126,1852,Medium,26457.26,95.17,86.18,0.31,1997-2000
127,1852,Medium,1187816.77,95.17,3869.11,0.31,1997-2000
128,1852,Medium,6592521.07,95.17,21474.01,0.31,1997-2000
129,1852,Medium,1588767.98,95.17,5175.14,0.31,1997-2000
130,1852,Medium,34962983.58,95.17,113885.94,0.31,1997-2000
131,1434,Medium,6520.8,98.8,19.14,0.29,1997-2000
132,1434,Medium,14721.2,98.8,43.21,0.29,1997-2000
133,1434,Medium,1185.6,98.8,3.48,0.29,1997-2000
134,1434,Medium,197.6,98.8,0.58,0.29,1997-2000
135,1434,Medium,44756.4,98.8,131.37,0.29,1997-2000
136,1434,Medium,2417703465.585,98.8,2.32,0.29,1997-2000
137,1434,Medium,103344.8,98.8,303.34,0.29,1997-2000
138,1434,Medium,2568.8,98.8,7.54,0.29,1997-2000
139,1434,Medium,11065.6,98.8,32.48,0.29,1997-2000
140,1434,Medium,488566.0,98.8,1434.05,0.29,1997-2000
141,1434,Medium,1379346.8,98.8,4048.69,0.29,1997-2000
142,1434,Medium,564740.8,98.8,1657.64,0.29,1997-2000
143,1434,Medium,14523.6,98.8,42.63,0.29,1997-2000
144,1434,Medium,395.2,98.8,1.16,0.29,1997-2000
145,1434,Medium,267748.0,98.8,785.9,0.29,1997-2000
146,1434,Medium,2417703465.585,98.8,188.21,0.29,1997-2000
147,2354,High,7356351.6,98.8,21592.53,0.29,1997-2000
148,2354,High,756511.6,98.8,2220.53,0.29,1997-2000
149,2354,High,4138238.0,98.8,12146.65,0.29,1997-2000
150,2354,High,2417703465.585,98.8,501.12,0.29,1997-2000
151,2354,High,1992400.8,98.8,5848.14,0.29,1997-2000
152,2354,High,163217.6,98.8,479.08,0.29,1997-2000
153,2354,High,1454731.2,98.8,4269.96,0.29,1997-2000
154,1433,High,296597.6,98.8,870.58,0.29,1997-2000
155,2354,High,7775757.6,98.8,22823.58,0.29,1997-2000
156,2354,High,1009933.6,98.8,2964.38,0.29,1997-2000
157,2354,High,1957228.0,98.8,5744.9,0.29,1997-2000
158,2354,High,519688.0,98.8,1525.4,0.29,1997-2000
159,2354,High,864796.4,98.8,2538.37,0.29,1997-2000
160,2354,High,798600.4,98.8,2344.07,0.29,1997-2000
161,2354,High,11474730.8,98.8,33680.89,0.29,1997-2000
162,2354,High,2417703465.585,98.8,22317.82,0.29,1997-2000
163,2354,High,28536305.2,98.8,83760.41,0.29,1997-2000
164,2354,High,58783925.2,98.8,172543.91,0.29,1997-2000
165,2354,High,22122604.4,98.8,64934.77,0.29,1997-2000
166,2354,High,161560724.0,98.8,474216.7,0.29,1997-2000
167,2354,High,1574872.0,98.8,4622.6,0.29,1997-2000
168,2354,High,1042043.6,98.8,3058.63,0.29,1997-2000
169,2354,High,3020414.8,98.8,8865.59,0.29,1997-2000
170,2354,High,931980.4,98.8,2735.57,0.29,1997-2000
171,2354,High,276442.4,98.8,811.42,0.29,1997-2000
172,2354,High,144742.0,98.8,424.85,0.29,1997-2000
173,1433,High,2417703465.585,98.8,3111.41,0.29,1997-2000
174,2354,High,8851590.8,98.8,25981.39,0.29,1997-2000
175,2964,High,148200.0,98.8,435.0,0.29,1997-2000
176,2964,High,187720.0,98.8,551.0,0.29,1997-2000
177,2964,High,24700.0,98.8,72.5,0.29,1997-2000
178,2964,High,5224050.0,98.8,15333.75,0.29,1997-2000
179,2964,High,2455970.4,98.8,7208.82,0.29,1997-2000
180,2964,High,2417703465.585,98.8,101.5,0.29,1997-2000
181,2964,High,103542.4,98.8,303.92,0.29,1997-2000
182,2964,High,856694.8,98.8,2514.59,0.29,1997-2000
183,2964,High,118560.0,98.8,348.0,0.29,1997-2000
184,2964,High,247000.0,98.8,725.0,0.29,1997-2000
185,2964,High,4050800.0,98.8,11890.0,0.29,1997-2000
186,2964,High,1525373.2,98.8,4477.31,0.29,1997-2000
187,2964,High,130416.0,98.8,382.8,0.29,1997-2000
188,1260,Medium,2417703465.585,98.8,28433.63,0.29,1997-2000
189,1260,Medium,46969124.8,98.8,137864.84,0.29,1997-2000
190,1260,Medium,41082620.8,98.8,120586.64,0.29,1997-2000
191,1260,Medium,44558.8,98.8,130.79,0.29,1997-2000
192,1260,Medium,83584.8,98.8,245.34,0.29,1997-2000
193,1260,Medium,433435.6,98.8,1272.23,0.29,1997-2000
194,1260,Medium,1997538.4,98.8,5863.22,0.29,1997-2000
195,1260,Medium,2417703465.585,98.8,7901.34,0.29,1997-2000
196,1260,Medium,2417703465.585,98.8,90015.71,0.29,1997-2000
197,1260,Medium,1771978.0,98.8,5201.15,0.29,1997-2000
198,1260,Medium,62885706.0,98.8,184583.55,0.29,1997-2000
199,1260,Medium,16827517.2,98.8,49392.51,0.29,1997-2000
200,1260,Medium,353111.2,98.8,1036.46,0.29,1997-2000
201,1260,Medium,384924.8,98.8,1129.84,0.29,1997-2000
202,1260,Medium,35106208.8,98.8,103044.54,0.29,1997-2000
203,1260,Medium,100042607.6,98.8,293647.33,0.29,1997-2000
204,1260,Medium,21483566.0,98.8,63059.05,0.29,1997-2000
205,1260,Medium,18721216.8,98.8,54950.94,0.29,1997-2000
206,1260,Medium,13316165.2,98.8,39085.91,0.29,1997-2000
207,1260,Medium,41575830.4,98.8,122034.32,0.29,1997-2000
208,1260,Medium,140312005.6,98.8,411846.98,0.29,1997-2000
209,1260,Medium,879023.6,98.8,2580.13,0.29,1997-2000
210,1260,Medium,1956832.8,98.8,5743.74,0.29,1997-2000
211,1260,Medium,2417703465.585,98.8,130636.88,0.29,1997-2000
212,1260,Medium,4932293.6,98.8,14477.38,0.29,1997-2000
213,1260,Medium,1183031.2,98.8,3472.46,0.29,1997-2000
214,1260,Medium,30797936.0,98.8,90398.8,0.29,1997-2000
215,1260,Medium,1543947.6,98.8,4531.83,0.29,1997-2000
216,1260,Medium,4135076.4,98.8,12137.37,0.29,1997-2000
217,1260,Medium,7896194.8,98.8,23177.09,0.29,1997-2000
218,1260,Medium,877541.6,98.8,2575.78,0.29,1997-2000
219,1260,Medium,473943.6,98.8,1391.13,0.29,1997-2000
220,1260,Medium,170924.0,98.8,501.7,0.29,1997-2000
221,1260,Medium,48807.2,98.8,143.26,0.29,1997-2000
222,1260,Medium,156400.4,98.8,459.07,0.29,1997-2000
223,1260,Medium,2840994.0,98.8,8338.95,0.29,1997-2000
224,1260,Medium,412292.4,98.8,1210.17,0.29,1997-2000
225,1260,Medium,112335.6,98.8,329.73,0.29,1997-2000
226,1260,Medium,26478.4,98.8,77.72,0.29,1997-2000
227,1260,Medium,97433892.4,98.8,285990.17,0.29,1997-2000
228,1260,Medium,3342700.4,98.8,9811.57,0.29,1997-2000
229,1260,Medium,2417703465.585,98.8,3095.17,0.29,1997-2000
230,1260,Medium,659292.4,98.8,1935.17,0.29,1997-2000
231,1260,Medium,106624268.4,98.8,312965.97,0.29,1997-2000
232,1260,Medium,2417703465.585,98.8,15016.78,0.29,1997-2000
233,1260,Medium,29228004.0,98.8,85790.7,0.29,1997-2000
234,1260,Medium,9631715.6,98.8,28271.23,0.29,1997-2000
235,1260,Medium,11386700.0,98.8,33422.5,0.29,1997-2000
236,1260,Medium,6452529.2,98.8,18939.61,0.29,1997-2000
237,1260,Medium,42550788.8,98.8,124896.04,0.29,1997-2000
238,1260,Medium,35519983.2,98.8,104259.06,0.29,1997-2000
239,1260,Medium,4263812.8,98.8,12515.24,0.29,1997-2000
240,1260,Medium,494691.6,98.8,1452.03,0.29,1997-2000
241,1260,Medium,26575322.8,98.8,78004.49,0.29,1997-2000
242,3151,Very High,7275533.2,98.8,21355.31,0.29,1997-2000
243,3151,Very High,3015474.8,98.8,8851.09,0.29,1997-2000
244,3151,Very High,2417703465.585,98.8,52891.36,0.29,1997-2000
245,3151,Very High,2417703465.585,98.8,12020.21,0.29,1997-2000
246,3151,Very High,9017278.4,98.8,26467.72,0.29,1997-2000
247,3151,Very High,2417703465.585,98.8,255863.52,0.29,1997-2000
248,3151,Very High,1086701.2,98.8,3189.71,0.29,1997-2000
249,3151,Very High,29343.6,98.8,86.13,0.29,1997-2000
250,3151,Very High,73309.6,98.8,215.18,0.29,1997-2000
251,3151,Very High,1097371.6,98.8,3221.03,0.29,1997-2000
252,3151,Very High,693674.8,98.8,2036.09,0.29,1997-2000
253,3151,Very High,215087.6,98.8,631.33,0.29,1997-2000
254,3151,Very High,114311.6,98.8,335.53,0.29,1997-2000
255,3151,Very High,11877439.6,98.8,34862.93,0.29,1997-2000
256,3151,Very High,5700760.0,98.8,16733.0,0.29,1997-2000
257,3151,Very High,17261743.2,98.8,50667.06,0.29,1997-2000
258,3151,Very High,326336.4,98.8,957.87,0.29,1997-2000
259,3151,Very High,608608.0,98.8,1786.4,0.29,1997-2000
260,3151,Very High,108581.2,98.8,318.71,0.29,1997-2000
261,3151,Very High,11142071.2,98.8,32704.46,0.29,1997-2000
262,3151,Very High,4050.8,98.8,11.89,0.29,1997-2000
263,3151,Very High,366152.8,98.8,1074.74,0.29,1997-2000
264,6552,Very High,946998.0,98.8,2779.65,0.29,1997-2000
265,6552,Very High,85066.8,98.8,249.69,0.29,1997-2000
266,6552,Very High,513167.2,98.8,1506.26,0.29,1997-2000
267,6552,Very High,745841.2,98.8,2189.21,0.29,1997-2000
268,6552,Very High,174283.2,98.8,511.56,0.29,1997-2000
269,6552,Very High,731416.4,98.8,2146.87,0.29,1997-2000
270,6552,Very High,45744.4,98.8,134.27,0.29,1997-2000
271,6552,Very High,419010.8,98.8,1229.89,0.29,1997-2000
272,6552,Very High,5038.8,98.8,14.79,0.29,1997-2000
273,6552,Very High,1701237.2,98.8,4993.51,0.29,1997-2000
274,6552,Very High,462482.8,98.8,1357.49,0.29,1997-2000
275,6552,Very High,86054.8,98.8,252.59,0.29,1997-2000
276,6552,Very High,2417703465.585,98.8,562.02,0.29,1997-2000
277,6552,Very High,2050396.4,98.8,6018.37,0.29,1997-2000
278,6552,Very High,683300.8,98.8,2005.64,0.29,1997-2000
279,6552,Very High,10413717.6,98.8,30566.58,0.29,1997-2000
280,6552,Very High,130613.6,98.8,383.38,0.29,1997-2000
281,6552,Very High,278912.4,98.8,818.67,0.29,1997-2000
282,6552,Very High,88821.2,98.8,260.71,0.29,1997-2000
283,6552,Very High,8200.4,98.8,24.07,0.29,1997-2000
284,6552,Very High,511882.8,98.8,1502.49,0.29,1997-2000
285,6552,Very High,391544.4,98.8,1149.27,0.29,1997-2000
286,6552,Very High,73309.6,98.8,215.18,0.29,1997-2000
287,6552,Very High,135850.0,98.8,398.75,0.29,1997-2000
288,6552,Very High,423555.6,98.8,1243.23,0.29,1997-2000
289,2152,High,814013.2,98.8,2389.31,0.29,1997-2000
290,2152,High,2417703465.585,98.8,755.74,0.29,1997-2000
291,2152,High,17290.0,98.8,50.75,0.29,1997-2000
292,2152,High,586674.4,98.8,1722.02,0.29,1997-2000
293,2152,High,284050.0,98.8,833.75,0.29,1997-2000
294,2152,High,5335.2,98.8,15.66,0.29,1997-2000
295,2152,High,2432060.8,98.8,7138.64,0.29,1997-2000
296,2152,High,19760.0,98.8,58.0,0.29,1997-2000
297,2152,High,6358175.2,98.8,18662.66,0.29,1997-2000
298,2152,High,928522.4,98.8,2725.42,0.29,1997-2000
299,2152,High,2300656.8,98.8,6752.94,0.29,1997-2000
300,2152,High,2979511.6,98.8,8745.53,0.29,1997-2000
301,2152,High,489850.4,98.8,1437.82,0.29,1997-2000
302,2152,High,87536.8,98.8,256.94,0.29,1997-2000
303,2152,High,60472120.8,98.8,177499.14,0.29,1997-2000
304,2152,High,2302040.0,98.8,6757.0,0.29,1997-2000
305,2152,High,1019912.4,98.8,2993.67,0.29,1997-2000
306,2152,High,2417703465.585,98.8,11170.51,0.29,1997-2000
307,2152,High,5129597.2,98.8,15056.51,0.29,1997-2000
308,2152,High,979206.8,98.8,2874.19,0.29,1997-2000
309,2152,High,81213.6,98.8,238.38,0.29,1997-2000
310,2152,High,269625.2,98.8,791.41,0.29,1997-2000
311,2152,High,920816.0,98.8,2702.8,0.29,1997-2000
312,2152,High,749595.6,98.8,2200.23,0.29,1997-2000
313,2152,High,75878.4,98.8,222.72,0.29,1997-2000
314,2152,High,911924.0,98.8,2676.7,0.29,1997-2000
315,2152,High,31438061.2,98.8,92277.71,0.29,1997-2000
316,2152,High,1274026.0,98.8,3739.55,0.29,1997-2000
317,2152,High,34022570.4,98.8,99863.82,0.29,1997-2000
318,2152,High,41990197.6,98.8,123250.58,0.29,1997-2000
319,2152,High,2417703465.585,98.8,420637.17,0.29,1997-2000
320,2152,High,398027656.0,98.8,1168299.8,0.29,1997-2000
321,2152,High,4742.4,98.8,13.92,0.29,1997-2000
322,2152,High,177840.0,98.8,522.0,0.29,1997-2000
323,2152,High,9921990.0,98.8,29123.25,0.29,1997-2000
324,2152,High,369709.6,98.8,1085.18,0.29,1997-2000
325,2152,High,122018.0,98.8,358.15,0.29,1997-2000
326,2152,High,2417703465.585,98.8,232.0,0.29,1997-2000
327,2152,High,2662561.2,98.8,7815.21,0.29,1997-2000
328,2152,High,14721.2,98.8,43.21,0.29,1997-2000
329,2152,High,1260984.4,98.8,3701.27,0.29,1997-2000
330,2152,High,5817146.4,98.8,17074.62,0.29,1997-2000
331,2152,High,1493065.6,98.8,4382.48,0.29,1997-2000
332,2152,High,36306233.6,98.8,106566.88,0.29,1997-2000
333,2201,High,7796734.32,106.13,19835.28,0.2699999999999999,1997-2000
334,2201,High,771140.58,106.13,1961.82,0.27,1997-2000
335,1433,High,4449181.86,106.13,11318.94,0.27,1997-2000
336,2201,High,183180.38,106.13,466.02,0.2699999999999999,1997-2000
337,2201,High,2417703465.585,106.13,5464.26,0.27,1997-2000
338,1433,High,173734.81,106.13,441.99,0.27,1997-2000
339,1433,High,1530182.34,106.13,3892.86,0.27,1997-2000
340,2201,High,247919.68,106.13,630.72,0.27,1997-2000
341,2201,High,7805330.85,106.13,19857.15,0.27,1997-2000
342,1433,High,1087620.24,106.13,2766.96,0.27,1997-2000
343,2201,High,2091610.04,106.13,5321.16,0.27,1997-2000
344,2201,High,549435.01,106.13,1397.79,0.27,1997-2000
345,2201,High,944981.52,106.13,2404.08,0.27,1997-2000
346,2201,High,2417703465.585,106.13,1988.55,0.27,1997-2000
347,2201,High,11310910.88,106.13,28775.52,0.27,1997-2000
348,2201,High,8145265.24,106.13,20721.96,0.2699999999999999,1997-2000
349,2201,High,30378757.33,106.13,77285.07,0.27,1997-2000
350,2201,High,59137758.6,106.13,150449.4,0.2699999999999999,1997-2000
351,2201,High,31271629.02,106.13,79556.58,0.27,1997-2000
352,1433,High,190396583.2,106.12999998885168,484378.38,0.27,1997-2000
353,2201,High,1607126.59,106.13,4088.61,0.27,1997-2000
354,2201,High,1133574.53,106.13,2883.87,0.2699999999999999,1997-2000
355,2201,High,3089125.91,106.13,7858.89,0.27,1997-2000
356,2201,High,950394.15,106.13,2417.85,0.2699999999999999,1997-2000
357,2201,High,300984.68,106.13,765.72,0.27,1997-2000
358,2201,High,145716.49,106.13,370.71,0.2699999999999999,1997-2000
359,2201,High,1165307.4,106.13,2964.6,0.27,1997-2000
360,2201,High,2417703465.585,106.13,20603.7,0.27,1997-2000
361,3879,Very High,164501.5,106.13,418.5,0.27,1997-2000
362,3879,Very High,206953.5,106.13,526.5,0.27,1997-2000
363,3879,Very High,29185.75,106.13,74.25,0.27,1997-2000
364,3879,Very High,5655879.96,106.13,14388.84,0.27,1997-2000
365,3879,Very High,2650596.75,106.13,6743.25,0.27,1997-2000
366,3879,Very High,37145.5,106.13,94.5,0.27,1997-2000
367,3879,Very High,106554.52,106.13,271.08,0.2699999999999999,1997-2000
368,3879,Very High,979261.51,106.13,2491.29,0.27,1997-2000
369,3879,Very High,106130.0,106.13,270.0,0.27,1997-2000
370,3879,Very High,106130.0,106.13,270.0,0.27,1997-2000
371,3879,Very High,4298265.0,106.13,10935.0,0.27,1997-2000
372,3879,Very High,1720685.69,106.13,4377.51,0.27,1997-2000
373,3879,Very High,141683.55,106.13,360.45,0.27,1997-2000
374,2914,High,8696398.33,106.13,22124.07,0.27,1997-2000
375,2914,High,4143951.98,106.13,10542.42,0.27,1997-2000
376,2914,High,21056828.78,106.13,53569.62,0.27,1997-2000
377,2914,High,4403439.83,106.13,11202.57,0.27,1997-2000
378,2914,High,9488340.39,106.13,24138.81,0.27,1997-2000
379,2914,High,98173964.55,106.13,249759.45,0.27,1997-2000
380,2914,High,506452.36,106.13,1288.44,0.27,1997-2000
381,2914,High,33112.56,106.13,84.24,0.2699999999999999,1997-2000
382,2914,High,90104.37,106.13,229.23,0.2699999999999999,1997-2000
383,2914,High,1195448.32,106.13,3041.28,0.27,1997-2000
384,2914,High,734525.73,106.13,1868.67,0.27,1997-2000
385,2914,High,268402.77,106.13,682.83,0.27,1997-2000
386,2914,High,92333.1,106.13,234.9,0.27,1997-2000
387,2914,High,12897448.25,106.13,32811.75,0.27,1997-2000
388,2914,High,6157768.73,106.13,15665.67,0.27,1997-2000
389,2914,High,18066297.64,106.13,45961.56,0.2699999999999999,1997-2000
390,2914,High,277211.56,106.13,705.24,0.27,1997-2000
391,2914,High,613431.4,106.13,1560.6,0.2699999999999999,1997-2000
392,2914,High,104962.57,106.13,267.03,0.2699999999999999,1997-2000
393,2914,High,11878281.86,106.13,30218.94,0.2699999999999999,1997-2000
394,2914,High,4669.72,106.13,11.88,0.27,1997-2000
395,2914,High,421442.23,106.13,1072.17,0.27,1997-2000
396,6200,Very High,1023623.85,106.13,2604.15,0.27,1997-2000
397,6200,Very High,92439.23,106.13,235.17,0.2699999999999999,1997-2000
398,6200,Very High,564505.47,106.13,1436.13,0.27,1997-2000
399,6200,Very High,2865.51,106.13,7.29,0.27,1997-2000
400,6200,Very High,791199.15,106.13,2012.85,0.2699999999999999,1997-2000
401,6200,Very High,189972.7,106.13,483.3,0.27,1997-2000
402,6200,Very High,807224.78,106.13,2053.62,0.2699999999999999,1997-2000
403,6200,Very High,2417703465.585,106.13,124.2,0.27,1997-2000
404,6200,Very High,449460.55,106.13,1143.45,0.27,1997-2000
405,6200,Very High,1765684.81,106.13,4491.99,0.2699999999999999,1997-2000
406,6200,Very High,473021.41,106.13,1203.39,0.27,1997-2000
407,6200,Very High,1946318.07,106.13,4951.53,0.2699999999999999,1997-2000
408,6200,Very High,2417703465.585,106.13,1901.34,0.2699999999999999,1997-2000
409,6200,Very High,10876414.66,106.13,27670.14,0.27,1997-2000
410,6200,Very High,416984.77,106.13,1060.83,0.2699999999999999,1997-2000
411,6200,Very High,138393.52,106.13,352.08,0.2699999999999999,1997-2000
412,6200,Very High,110162.94,106.13,280.26,0.27,1997-2000
413,6200,Very High,8490.4,106.13,21.6,0.27,1997-2000
414,6200,Very High,553998.6,106.13,1409.4,0.27,1997-2000
415,6200,Very High,426854.86,106.13,1085.94,0.27,1997-2000
416,6200,Very High,2417703465.585,106.13,194.13,0.27,1997-2000
417,6200,Very High,154737.54,106.13,393.66,0.27,1997-2000
418,1434,Medium,6898.45,106.13,17.55,0.27,1997-2000
419,1434,Medium,18042.1,106.13,45.9,0.27,1997-2000
420,1434,Medium,2417703465.585,106.13,76.14,0.27,1997-2000
421,1434,Medium,1273.56,106.13,3.24,0.27,1997-2000
